XP,Cluster_Observables_Vector
0.38210433209830685,1
0.13595691831018683,1
-3.392061377622312,0
-1.5085460894360077,0
-1.213062488209738,1
0.24880329056673728,1
1.5603006663002956,2
2.6127465565393124,2
-0.1332387815023777,1
-0.5089888491565192,1
1.288093548603696,2
1.0712074031925112,2
0.4433907410458382,2
1.6610842922866778,2
-0.2877234292659563,1
-0.16819040681535513,1
0.9832090065459343,2
-0.03540461836065676,1
-0.366539401514969,1
0.10395823556070258,1
-2.436154124178746,0
-2.562345121915769,0
0.4740681576939758,2
0.6547440833535237,2
0.20749416736979806,1
0.6750322686299912,2
-2.8418895549066856,0
0.010478047941085611,1
0.1224714157320044,1
1.309127214717752,2
1.665657334271653,2
0.023081720621500844,1
-1.8934456304187637,0
-0.3154889769648873,1
1.0494151977548252,2
-0.12481054121368254,1
0.022980536926510597,1
0.8071879185413943,2
-0.3489642842519567,1
-0.2438966922952366,1
-1.8034118632955454,0
0.4186852465967358,1
1.3655751164461438,2
0.6909953409839134,2
0.46052828576639404,2
0.5422750817450006,2
-2.0133930659411794,0
0.23659684539255738,1
-2.7758547220961964,0
0.3909110459891963,1
-0.39026886051143056,1
-0.15357963333513774,1
1.133500272815184,2
0.20997046760783586,1
1.146881538318728,2
-1.8854566331682199,0
0.470323372699858,2
0.688783886633116,2
0.8212475009178427,2
0.8399311282560834,2
-2.649200286760637,0
0.7001944421163108,2
-0.3001496912664536,1
0.9259790196924164,2
-0.31432219936168276,1
0.285123189492079,1
0.8683771672735153,2
1.6332874053037103,2
1.8075674238414174,2
-0.5491032433713245,1
0.13580027426638366,1
0.8760868961667587,2
-2.5938418312536333,0
-3.1824693981646726,0
0.8387296142992597,2
0.436936259884344,2
-2.125847550633327,0
-0.614686799235333,1
1.4819239370894346,2
1.0784638927590395,2
-0.09202867038490556,1
1.2619703459038731,2
-0.2677713171716352,1
0.5125114655803438,2
-0.08549739469695614,1
1.9959799534008633,2
-1.5657281547169717,0
0.16649812302517628,1
0.9579397341703444,2
0.3216973190158189,1
1.1556845632554964,2
-0.0595049695421334,1
0.40807220294378244,1
-0.3917015750012887,1
0.0800684953717126,1
-1.1198936102276311,1
0.6675363469116369,2
1.345708227935292,2
1.2203085715090656,2
0.031379348506008174,1
-0.3658711372702244,1
1.2206929721026054,2
0.21611406387059257,1
0.6148888836916029,2
0.34060456119711957,1
1.3846267595276298,2
-1.5248460460417053,0
-0.5340666731125753,1
1.5061111823500763,2
1.1019199159432305,2
-1.4489850935253932,0
1.3044476295879694,2
-2.976685442905366,0
-0.15225994328317158,1
0.333480094932513,1
2.2637427294882806,2
0.6373308087052815,2
0.2698108305948622,1
0.14797497004489182,1
1.4051137975452441,2
0.07771941046828038,1
1.7620955803764808,2
-0.9507472755724884,1
-2.2282396830991846,0
0.9732136251189012,2
-3.2768101095181956,0
1.6638078860235057,2
-0.11131706661467052,1
1.0162412419234217,2
0.675383607638403,2
-1.194945826632278,1
0.7273861592497612,2
0.6079140979578217,2
1.3414784381489264,2
-0.4602141853800833,1
-0.5191135411526269,1
1.2574216327654066,2
-1.4373247928404118,0
0.978157669805069,2
0.15185589203382657,1
0.6139935291577621,2
0.6352687710145519,2
0.5467092754450342,2
1.5916517569948336,2
0.8306530209733776,2
0.4276319277965955,2
-1.2466607795592668,0
-0.30182870697480046,1
0.42222140675938186,2
0.1834495523518113,1
-0.36133142073030056,1
0.07258147153278913,1
1.4972175743800216,2
1.0337292662263229,2
0.2498073200392277,1
0.29931247304125286,1
0.14116995059027124,1
1.8827181008538645,2
1.0509533363654617,2
-1.3234974357930385,0
-0.8620259857446395,1
1.668125662488861,2
-1.5752866816675841,0
0.6474242601364643,2
-0.9854289047836979,1
-0.2614720027236763,1
0.015093246828842522,1
-0.10527163907517499,1
-0.8254375842753474,1
-1.130390866347173,1
-2.0215602745869257,0
-0.7376111639313732,1
0.3877966514145833,1
0.7798594702897064,2
-2.7484703284457304,0
1.5639067681502843,2
0.6674704790665473,2
1.7553765452122854,2
-0.3678137971925326,1
0.00599771651044353,1
-0.5892666992911076,1
0.69114595931726,2
0.7823065748346155,2
-2.2026334277527093,0
0.6903731303778042,2
0.42118197894542864,2
-0.888585877780071,1
-0.5653642231976146,1
-0.21536218314926,1
-0.5390588682722582,1
-0.5139424419128964,1
0.6952077877748061,2
-0.5613248879500695,1
-0.32194522734118847,1
0.21966987165615784,1
-3.2999895433486333,0
0.8018965821071748,2
-2.167418450110309,0
-1.6683789302640475,0
-0.8688848894986935,1
-0.6121361238764251,1
0.6678649008255091,2
-0.20524123737533215,1
-1.287057690276858,0
0.6813282378137632,2
-2.2940544394962283,0
1.1345051133573025,2
-0.5085650811799222,1
-0.8358266224815907,1
-0.3048724417960359,1
0.8591385055926333,2
0.3853083999174665,1
0.6457636903777582,2
-2.3077252821342378,0
-2.5795123872300616,0
-1.3141138056704424,0
1.701659756488996,2
-0.6080707730591265,1
-0.555476657283164,1
-1.1679774808137882,1
1.461896164108992,2
-0.3610201110927901,1
-1.1435510469294201,1
0.359703153078842,1
-2.634370638540253,0
0.638880331033469,2
1.020118474958235,2
2.2623103893745236,2
-0.8480960472728574,1
-0.8556667186458708,1
0.7252888337337458,2
-3.3286816904191263,0
0.7644594830197394,2
0.19107527540472555,1
0.7084496535109085,2
0.547605296239515,2
0.49109583007539964,2
0.697461658615513,2
-1.6824270448309724,0
-0.2746965254643055,1
-0.028216868808191915,1
-0.04946894083999804,1
-0.2372934461071761,1
1.0633176272567237,2
0.5861313418712333,2
0.8263029939925226,2
0.9574271097343479,2
0.6429349321072795,2
0.8647581202837351,2
1.0452619429077867,2
1.21958123010944,2
-2.6090272667007834,0
-2.7095367906142545,0
-0.441186903442517,1
-0.7827703030777815,1
0.10672908605216783,1
-0.7228974137605784,1
-0.09603594828237863,1
-0.11865100090926661,1
1.5074344108316569,2
-0.1722655149381522,1
1.8481931156864584,2
-1.779120848339959,0
0.8393546970743433,2
1.6644377767659058,2
-1.6125851963300026,0
0.8655808526839637,2
-1.3662874400232128,0
-2.879357493601053,0
2.814218843692971,2
-0.2915992367758969,1
-2.3701984906839932,0
0.27105682214094123,1
1.6396236116509497,2
-0.3190948856494482,1
0.29423549526442316,1
-2.687647326242047,0
0.8948033772975611,2
-0.8332645311185549,1
-1.50835386568238,0
1.489901190873465,2
1.6172094874916934,2
0.1838892950670678,1
1.5046791341208579,2
-2.8589324266926743,0
0.966369743673847,2
-1.4255808431786172,0
1.4471988975076027,2
-1.9039898353385418,0
0.32025323543554857,1
-0.1292864390531094,1
0.5948733538547782,2
1.0374400475599956,2
-2.3620890630735336,0
-0.005626094675973947,1
0.2745087672279691,1
0.6523293280432254,2
0.15431316255314612,1
0.1183268495291082,1
-1.2270454999113252,0
1.5441457284989848,2
0.16742991669490917,1
-0.4390988341121719,1
-1.9068931500982518,0
-2.962842690397288,0
1.1627670818526101,2
1.283151273132335,2
-1.0362383714952461,1
0.4850653100559301,2
-0.93835815471489,1
0.1326917906132539,1
-0.9474320512493553,1
0.16593271724391365,1
2.110332521706952,2
-1.6035330763822253,0
-0.7183047080828224,1
-0.6703549883304682,1
1.477372378363886,2
-1.627194200595412,0
0.33744466445553783,1
0.39328072043317697,1
0.21417513554332615,1
-0.5185844331472245,1
-2.0293163020896277,0
-0.10824942767486648,1
-1.0268366817538646,1
0.8256932093411162,2
1.146229707280717,2
0.4440023936311634,2
1.1537924066329006,2
2.0135969196122567,2
-0.5299430240703005,1
-0.8999980093126456,1
2.4459840431412205,2
0.5196522502627106,2
-1.5389226116646642,0
2.0735904308543924,2
-0.5341240797717612,1
0.6193004897353198,2
0.47732251957755883,2
-1.959874510612113,0
-0.6691534743736447,1
1.0117092055197885,2
0.6688117510970518,2
-0.7696238283422818,1
-2.2680114283924433,0
0.07288272426934375,1
0.34446742356726834,1
0.8112575258543424,2
0.3511340517622988,1
-0.9935468278728722,1
0.7487323527444678,2
-2.447826653380207,0
-1.0337780313687297,1
0.992052419170677,2
0.22734084071620203,1
0.5459689889056172,2
-0.5964328654223113,1
-1.3580945580440906,0
1.275154595745501,2
-2.1308130800216447,0
-3.061845108472481,0
0.5798895488714333,2
0.933921360027262,2
-2.4340314172138937,0
-0.20056756316703328,1
0.18647923908992162,1
-0.6571956671742885,1
-0.7741836656003375,1
-0.5327069390625687,1
-0.47835964169267847,1
0.6953144960604255,2
0.47228694978278746,2
0.36744484060304594,1
2.435998209784397,2
0.242446360224304,1
0.12633910069660828,1
1.187212955567331,2
-2.79028910519058,0
0.27602326131799854,1
-2.6504505187325047,0
1.200941788475916,2
-0.774913395561694,1
1.1766444882227447,2
0.0548488004372338,1
0.898204117088703,2
0.28190278862802054,1
0.2070020499827877,1
0.7738310938611451,2
-0.2982093520306197,1
-0.4997381521245852,1
-0.2776458938626507,1
0.11347405413686681,1
0.8526670720393166,2
-0.6500321961164934,1
0.3730869485041488,1
-3.7494613876119676,0
-2.1846099778494104,0
-1.979855626676858,0
-0.12454421799617385,1
0.7748741945593582,2
-0.0709978764398235,1
1.0855951293711967,2
-2.699946514267971,0
-2.777834782748532,0
-0.6055232455261824,1
-0.038762082235821595,1
-2.2987523761293356,0
-0.7647757730529332,1
-0.35866156076839867,1
-2.061059411365091,0
0.018728060764716288,1
-0.34156839491798674,1
0.8047439514681056,2
-0.2236913434832308,1
2.192029283208263,2
-0.22243185532569343,1
-2.08004408364732,0
0.6383676078783606,2
0.8813562482217238,2
0.5049383069264881,2
2.374311536020844,2
-1.1558968918710415,1
-3.0054992057815033,0
-0.8404217993703271,1
-0.27700396921192216,1
1.0012620783238582,2
-2.3193992886659665,0
-1.1994374914177983,1
-1.1020435798220802,1
1.016955496823224,2
0.11355057300633278,1
-0.22208829517268325,1
-1.1669735500604093,1
-0.8793236542278313,1
-1.2932399476537029,0
-0.5064657772138109,1
0.8461230177951107,2
-1.009056769973534,1
-0.36331344376287034,1
-1.2970042549697358,0
-0.0029510257887621683,1
0.8567548334173662,2
-2.7622888185289995,0
-0.6415902514237739,1
-0.27059208735142226,1
0.32636477434823336,1
1.4072382576550422,2
1.1879220602526055,2
0.26364425607213776,1
-1.0916367576540407,1
-2.9981368673554236,0
-0.7453044092552108,1
0.5478515974580035,2
-1.379351645835779,0
0.803771411804159,2
-0.47521675197838786,1
-2.5774471029942574,0
-2.9898633087302975,0
-2.4797502785206316,0
0.2538467497330885,1
-1.6826488904592252,0
0.10971484667268908,1
-0.05899224638702514,1
0.9748241926977229,2
0.3674035270673035,1
1.0990023277952445,2
0.7803919089321574,2
-0.19736830331519015,1
1.1177223473556612,2
1.2443756797370535,2
1.606193790460987,2
-0.5573257472250717,1
0.7036397596585429,2
1.8083486495404766,2
0.423195199902003,2
-1.3315273722032233,0
0.241993120897589,1
0.9067832675952836,2
-1.8441143496670418,0
0.5756038136862883,2
0.3253643820244688,1
-0.9617151643768905,1
-2.405587147411269,0
-0.5177700975065993,1
0.8188144928233314,2
-3.1639361959943506,0
-2.3426364371099906,0
-0.5313352844504835,1
0.735652848808225,2
0.5803860641141251,2
-2.3169050275282546,0
-0.11965168511757016,1
1.5290518342303,2
0.91806746716994,2
-1.8132666936445303,0
0.10903344412272539,1
-0.7059918302800127,1
-0.2273286432572241,1
0.410309688934195,1
0.08011919183685204,1
1.186457469623349,2
1.130820104076117,2
-2.4849083235471165,0
-1.0856320761087592,1
0.8716932510227158,2
-0.9044104601552916,1
0.19889205483079955,1
-0.970793301337144,1
-1.1844993656969878,1
0.9157541125008396,2
2.453954787607551,2
-1.7691622643658906,0
0.8292463381231346,2
1.0246319666931167,2
-2.7801314606827994,0
0.7270497277613751,2
-0.190624245019231,1
-2.4113449601965344,0
0.2455305814526252,1
2.0657982561003383,2
0.7428988644459426,2
1.0397124630694545,2
1.2180943394356099,2
-0.41687904661128516,1
0.0235886510822216,1
1.1036185792744961,2
1.6770497517596081,2
0.5768785999675027,2
0.09614236592336853,1
0.33508379344467243,1
1.2488317487428873,2
0.8844738893414118,2
-2.697091724357877,0
1.9499397332665782,2
-3.2447859626706252,0
1.3880523810905037,2
0.5774824736974256,2
1.4847052454398488,2
0.4828094768349884,2
0.4792331382196568,2
-2.425469042161258,0
-0.9210530656825355,1
-3.306734511433332,0
0.0898659029916499,1
0.825929962489395,2
0.6990506427730736,2
0.5578616932396354,2
-0.23594595520078745,1
0.44655760130039795,2
0.06951579497321958,1
-0.38976097617832656,1
-1.3364749553190054,0
1.5217064321261808,2
-2.4594173042623853,0
-2.5467899015105666,0
0.7551995298021346,2
0.7895994551805969,2
0.5111995704536414,2
1.0477223774806195,2
-2.530963549920539,0
1.6811563496909487,2
0.588271584996986,2
0.3454729303700271,1
1.278555236817531,2
0.20687856624322362,1
-0.9379342922919772,1
-1.5320460226679258,0
0.8774663296342465,2
-0.5415189605978796,1
0.7614696751388574,2
0.9483130347471971,2
-0.6543056881580205,1
-0.2092534219592335,1
-0.12775450324849505,1
-1.6310087032567568,0
1.2371606968716948,2
-2.738145483316085,0
0.7584645587799563,2
-0.048571525206811315,1
-1.6611247774538547,0
0.8386159865843059,2
-0.9108143539250999,1
0.007774085599627301,1
0.9581759358361235,2
0.8857818359268654,2
-0.39559501594851865,1
